2016-07-28 01:44:49,110,Tag Name,Iteration,Testing Accuracy(256),Testing Accuracy(512),Testing Accuracy(2048),Elapsed Time,L1,L2,L3
2016-07-28 01:45:37,773,cnn_mnist_test_acc_2_2_2,1280,0.117188,0.10938,0.12842,1.5,2,2,2
2016-07-28 01:45:37,822,cnn_mnist_test_acc_2_2_2,2560,0.144531,0.12891,0.14014,0.0492,2,2,2
2016-07-28 01:45:37,875,cnn_mnist_test_acc_2_2_2,3840,0.160156,0.14453,0.15234,0.0528,2,2,2
2016-07-28 01:45:37,929,cnn_mnist_test_acc_2_2_2,5120,0.164062,0.14648,0.15674,0.0538,2,2,2
2016-07-28 01:45:37,985,cnn_mnist_test_acc_2_2_2,6400,0.167969,0.14453,0.16309,0.0549,2,2,2
2016-07-28 01:45:38,037,cnn_mnist_test_acc_2_2_2,7680,0.183594,0.14844,0.15723,0.0524,2,2,2
2016-07-28 01:45:38,089,cnn_mnist_test_acc_2_2_2,8960,0.195312,0.14844,0.15771,0.051,2,2,2
2016-07-28 01:45:38,139,cnn_mnist_test_acc_2_2_2,10240,0.187500,0.14258,0.15918,0.0502,2,2,2
2016-07-28 01:45:38,191,cnn_mnist_test_acc_2_2_2,11520,0.183594,0.13867,0.15332,0.0517,2,2,2
2016-07-28 01:45:38,243,cnn_mnist_test_acc_2_2_2,12800,0.175781,0.12695,0.14746,0.0516,2,2,2
2016-07-28 01:45:38,294,cnn_mnist_test_acc_2_2_2,14080,0.175781,0.13281,0.14648,0.0508,2,2,2
2016-07-28 01:45:38,347,cnn_mnist_test_acc_2_2_2,15360,0.179688,0.13477,0.14307,0.0526,2,2,2
2016-07-28 01:45:38,399,cnn_mnist_test_acc_2_2_2,16640,0.179688,0.13477,0.14062,0.0521,2,2,2
2016-07-28 01:45:38,449,cnn_mnist_test_acc_2_2_2,17920,0.187500,0.13672,0.14014,0.0494,2,2,2
2016-07-28 01:45:38,497,cnn_mnist_test_acc_2_2_2,19200,0.171875,0.12891,0.13916,0.0475,2,2,2
2016-07-28 01:45:38,543,cnn_mnist_test_acc_2_2_2,20480,0.171875,0.13086,0.13281,0.0457,2,2,2
2016-07-28 01:45:38,593,cnn_mnist_test_acc_2_2_2,21760,0.160156,0.12305,0.13184,0.0493,2,2,2
2016-07-28 01:45:38,642,cnn_mnist_test_acc_2_2_2,23040,0.156250,0.12109,0.13037,0.0494,2,2,2
2016-07-28 01:45:38,688,cnn_mnist_test_acc_2_2_2,24320,0.156250,0.12109,0.12695,0.0455,2,2,2
2016-07-28 01:45:38,730,cnn_mnist_test_acc_2_2_2,25600,0.152344,0.11719,0.12158,0.0421,2,2,2
2016-07-28 01:45:38,776,cnn_mnist_test_acc_2_2_2,26880,0.144531,0.11328,0.11963,0.045,2,2,2
2016-07-28 01:45:38,821,cnn_mnist_test_acc_2_2_2,28160,0.140625,0.11133,0.11963,0.0452,2,2,2
2016-07-28 01:45:38,863,cnn_mnist_test_acc_2_2_2,29440,0.136719,0.11133,0.11865,0.0411,2,2,2
2016-07-28 01:45:38,905,cnn_mnist_test_acc_2_2_2,30720,0.136719,0.10938,0.11719,0.042,2,2,2
2016-07-28 01:45:38,946,cnn_mnist_test_acc_2_2_2,32000,0.136719,0.10938,0.11719,0.0409,2,2,2
2016-07-28 01:45:38,984,cnn_mnist_test_acc_2_2_2,33280,0.136719,0.10938,0.11768,0.038,2,2,2
2016-07-28 01:45:39,024,cnn_mnist_test_acc_2_2_2,34560,0.140625,0.11133,0.11768,0.0401,2,2,2
2016-07-28 01:45:39,067,cnn_mnist_test_acc_2_2_2,35840,0.140625,0.11328,0.11621,0.042,2,2,2
2016-07-28 01:45:39,106,cnn_mnist_test_acc_2_2_2,37120,0.136719,0.11133,0.11426,0.0389,2,2,2
2016-07-28 01:45:39,143,cnn_mnist_test_acc_2_2_2,38400,0.136719,0.11133,0.11377,0.0371,2,2,2
2016-07-28 01:45:39,181,cnn_mnist_test_acc_2_2_2,39680,0.140625,0.11328,0.11426,0.0374,2,2,2
2016-07-28 01:45:39,224,cnn_mnist_test_acc_2_2_2,40960,0.136719,0.11328,0.11475,0.0432,2,2,2
2016-07-28 01:45:39,265,cnn_mnist_test_acc_2_2_2,42240,0.136719,0.11133,0.11377,0.0405,2,2,2
2016-07-28 01:45:39,307,cnn_mnist_test_acc_2_2_2,43520,0.136719,0.11133,0.11328,0.0416,2,2,2
2016-07-28 01:45:39,347,cnn_mnist_test_acc_2_2_2,44800,0.136719,0.11133,0.11328,0.0398,2,2,2
2016-07-28 01:45:39,389,cnn_mnist_test_acc_2_2_2,46080,0.136719,0.11133,0.11377,0.042,2,2,2
2016-07-28 01:45:39,431,cnn_mnist_test_acc_2_2_2,47360,0.136719,0.11133,0.11377,0.0415,2,2,2
2016-07-28 01:45:39,470,cnn_mnist_test_acc_2_2_2,48640,0.136719,0.11133,0.11328,0.0394,2,2,2
2016-07-28 01:45:39,515,cnn_mnist_test_acc_2_2_2,49920,0.136719,0.11133,0.11328,0.0442,2,2,2
2016-07-28 01:45:39,556,cnn_mnist_test_acc_2_2_2,51200,0.136719,0.11133,0.11328,0.041,2,2,2
2016-07-28 01:45:39,601,cnn_mnist_test_acc_2_2_2,52480,0.136719,0.11133,0.11328,0.0443,2,2,2
2016-07-28 01:45:39,646,cnn_mnist_test_acc_2_2_2,53760,0.136719,0.11133,0.11377,0.0452,2,2,2
2016-07-28 01:45:39,744,cnn_mnist_test_acc_2_2_2,55040,0.136719,0.11133,0.11279,0.098,2,2,2
2016-07-28 01:45:39,790,cnn_mnist_test_acc_2_2_2,56320,0.136719,0.11133,0.11279,0.0459,2,2,2
2016-07-28 01:45:39,837,cnn_mnist_test_acc_2_2_2,57600,0.136719,0.11133,0.11279,0.0467,2,2,2
2016-07-28 01:45:39,885,cnn_mnist_test_acc_2_2_2,58880,0.136719,0.11133,0.11279,0.0477,2,2,2
2016-07-28 01:45:39,930,cnn_mnist_test_acc_2_2_2,60160,0.136719,0.11328,0.11328,0.0443,2,2,2
2016-07-28 01:45:39,976,cnn_mnist_test_acc_2_2_2,61440,0.136719,0.11328,0.11279,0.0458,2,2,2
2016-07-28 01:45:40,025,cnn_mnist_test_acc_2_2_2,62720,0.136719,0.11328,0.11279,0.0489,2,2,2
2016-07-28 01:45:40,073,cnn_mnist_test_acc_2_2_2,64000,0.136719,0.11133,0.11230,0.0471,2,2,2
2016-07-28 01:45:40,121,cnn_mnist_test_acc_2_2_2,65280,0.136719,0.11133,0.11230,0.0481,2,2,2
2016-07-28 01:45:40,169,cnn_mnist_test_acc_2_2_2,66560,0.136719,0.11133,0.11230,0.048,2,2,2
2016-07-28 01:45:40,217,cnn_mnist_test_acc_2_2_2,67840,0.136719,0.11133,0.11230,0.047,2,2,2
2016-07-28 01:45:40,264,cnn_mnist_test_acc_2_2_2,69120,0.136719,0.11133,0.11230,0.0475,2,2,2
2016-07-28 01:45:40,314,cnn_mnist_test_acc_2_2_2,70400,0.136719,0.11133,0.11230,0.0496,2,2,2
2016-07-28 01:45:40,365,cnn_mnist_test_acc_2_2_2,71680,0.136719,0.11133,0.11230,0.0507,2,2,2
2016-07-28 01:45:40,413,cnn_mnist_test_acc_2_2_2,72960,0.136719,0.11133,0.11230,0.0478,2,2,2
2016-07-28 01:45:40,461,cnn_mnist_test_acc_2_2_2,74240,0.136719,0.11133,0.11230,0.0475,2,2,2
2016-07-28 01:45:40,506,cnn_mnist_test_acc_2_2_2,75520,0.136719,0.11133,0.11182,0.0447,2,2,2
2016-07-28 01:45:40,551,cnn_mnist_test_acc_2_2_2,76800,0.136719,0.11133,0.11182,0.0445,2,2,2
2016-07-28 01:45:40,594,cnn_mnist_test_acc_2_2_2,78080,0.136719,0.11133,0.11182,0.0429,2,2,2
2016-07-28 01:45:40,638,cnn_mnist_test_acc_2_2_2,79360,0.136719,0.11133,0.11133,0.0441,2,2,2
2016-07-28 01:45:40,682,cnn_mnist_test_acc_2_2_2,80640,0.136719,0.11133,0.11084,0.043,2,2,2
2016-07-28 01:45:40,724,cnn_mnist_test_acc_2_2_2,81920,0.136719,0.11133,0.11084,0.0424,2,2,2
2016-07-28 01:45:40,771,cnn_mnist_test_acc_2_2_2,83200,0.136719,0.11133,0.11084,0.0462,2,2,2
