2016-07-22 02:29:21,092,Tag Name,Iteration,Testing Accuracy(256), Testing Accuracy(512), Testing Accuracy(2048), Testing Accuracy(8092), Elapsed Time,L1,L2,L3
2016-07-22 02:37:37,654,cnn_mnist_test_acc_2_2_2,1280,0.089844,0.08984,0.08447,0.09874,0.178,2,2,2
2016-07-22 02:37:37,726,cnn_mnist_test_acc_2_2_2,2560,0.109375,0.10742,0.10938,0.12222,0.0724,2,2,2
2016-07-22 02:37:37,794,cnn_mnist_test_acc_2_2_2,3840,0.128906,0.11914,0.12598,0.14001,0.0669,2,2,2
2016-07-22 02:37:37,860,cnn_mnist_test_acc_2_2_2,5120,0.140625,0.13281,0.13916,0.15435,0.0657,2,2,2
2016-07-22 02:37:37,925,cnn_mnist_test_acc_2_2_2,6400,0.132812,0.13281,0.14111,0.15905,0.0653,2,2,2
2016-07-22 02:37:37,990,cnn_mnist_test_acc_2_2_2,7680,0.140625,0.14062,0.14600,0.15917,0.0648,2,2,2
2016-07-22 02:37:38,055,cnn_mnist_test_acc_2_2_2,8960,0.144531,0.14258,0.14502,0.15546,0.064,2,2,2
2016-07-22 02:37:38,115,cnn_mnist_test_acc_2_2_2,10240,0.128906,0.13281,0.13916,0.15089,0.0602,2,2,2
2016-07-22 02:37:38,175,cnn_mnist_test_acc_2_2_2,11520,0.125000,0.13086,0.13477,0.14694,0.0601,2,2,2
2016-07-22 02:37:38,236,cnn_mnist_test_acc_2_2_2,12800,0.125000,0.12891,0.13232,0.14298,0.0601,2,2,2
2016-07-22 02:37:38,302,cnn_mnist_test_acc_2_2_2,14080,0.121094,0.12891,0.12939,0.14001,0.0657,2,2,2
2016-07-22 02:37:38,367,cnn_mnist_test_acc_2_2_2,15360,0.113281,0.11914,0.12598,0.13631,0.0644,2,2,2
2016-07-22 02:37:38,431,cnn_mnist_test_acc_2_2_2,16640,0.109375,0.11719,0.12500,0.13359,0.064,2,2,2
2016-07-22 02:37:38,494,cnn_mnist_test_acc_2_2_2,17920,0.105469,0.11328,0.12158,0.13013,0.0629,2,2,2
2016-07-22 02:37:38,558,cnn_mnist_test_acc_2_2_2,19200,0.097656,0.10938,0.11670,0.12617,0.064,2,2,2
2016-07-22 02:37:38,622,cnn_mnist_test_acc_2_2_2,20480,0.093750,0.10352,0.11523,0.12519,0.0631,2,2,2
2016-07-22 02:37:38,684,cnn_mnist_test_acc_2_2_2,21760,0.093750,0.10352,0.11279,0.12407,0.0621,2,2,2
2016-07-22 02:37:38,751,cnn_mnist_test_acc_2_2_2,23040,0.093750,0.09961,0.11230,0.12308,0.0671,2,2,2
2016-07-22 02:37:38,819,cnn_mnist_test_acc_2_2_2,24320,0.093750,0.09766,0.10938,0.12111,0.0678,2,2,2
2016-07-22 02:37:38,893,cnn_mnist_test_acc_2_2_2,25600,0.093750,0.09766,0.10840,0.11938,0.0729,2,2,2
2016-07-22 02:37:38,964,cnn_mnist_test_acc_2_2_2,26880,0.093750,0.09766,0.10791,0.11789,0.0707,2,2,2
2016-07-22 02:37:39,034,cnn_mnist_test_acc_2_2_2,28160,0.093750,0.09766,0.10791,0.11728,0.0699,2,2,2
2016-07-22 02:37:39,105,cnn_mnist_test_acc_2_2_2,29440,0.093750,0.09570,0.10742,0.11691,0.0702,2,2,2
2016-07-22 02:37:39,176,cnn_mnist_test_acc_2_2_2,30720,0.093750,0.09570,0.10596,0.11592,0.0708,2,2,2
2016-07-22 02:37:39,245,cnn_mnist_test_acc_2_2_2,32000,0.093750,0.09570,0.10498,0.11480,0.0691,2,2,2
2016-07-22 02:37:39,313,cnn_mnist_test_acc_2_2_2,33280,0.093750,0.09570,0.10498,0.11406,0.0679,2,2,2
2016-07-22 02:37:39,384,cnn_mnist_test_acc_2_2_2,34560,0.093750,0.09180,0.10400,0.11307,0.0708,2,2,2
2016-07-22 02:37:39,456,cnn_mnist_test_acc_2_2_2,35840,0.093750,0.09180,0.10449,0.11209,0.0713,2,2,2
2016-07-22 02:37:39,525,cnn_mnist_test_acc_2_2_2,37120,0.093750,0.09180,0.10352,0.11147,0.0691,2,2,2
2016-07-22 02:37:39,600,cnn_mnist_test_acc_2_2_2,38400,0.093750,0.09180,0.10303,0.11097,0.0748,2,2,2
2016-07-22 02:37:39,669,cnn_mnist_test_acc_2_2_2,39680,0.093750,0.09180,0.10205,0.11036,0.0683,2,2,2
2016-07-22 02:37:39,743,cnn_mnist_test_acc_2_2_2,40960,0.093750,0.09180,0.10205,0.10949,0.0734,2,2,2
2016-07-22 02:37:39,816,cnn_mnist_test_acc_2_2_2,42240,0.093750,0.09180,0.10205,0.10838,0.0728,2,2,2
2016-07-22 02:37:39,886,cnn_mnist_test_acc_2_2_2,43520,0.093750,0.09180,0.10156,0.10801,0.07,2,2,2
2016-07-22 02:37:39,958,cnn_mnist_test_acc_2_2_2,44800,0.093750,0.09180,0.10107,0.10727,0.0712,2,2,2
2016-07-22 02:37:40,024,cnn_mnist_test_acc_2_2_2,46080,0.093750,0.09180,0.10107,0.10727,0.0663,2,2,2
2016-07-22 02:37:40,090,cnn_mnist_test_acc_2_2_2,47360,0.093750,0.09180,0.10107,0.10702,0.0658,2,2,2
2016-07-22 02:37:40,153,cnn_mnist_test_acc_2_2_2,48640,0.093750,0.09180,0.10107,0.10677,0.0625,2,2,2
2016-07-22 02:37:40,213,cnn_mnist_test_acc_2_2_2,49920,0.093750,0.09180,0.10107,0.10665,0.0594,2,2,2
2016-07-22 02:37:40,274,cnn_mnist_test_acc_2_2_2,51200,0.093750,0.09180,0.10107,0.10652,0.0606,2,2,2
2016-07-22 02:37:40,340,cnn_mnist_test_acc_2_2_2,52480,0.093750,0.09180,0.10010,0.10628,0.066,2,2,2
2016-07-22 02:37:40,407,cnn_mnist_test_acc_2_2_2,53760,0.093750,0.09180,0.10010,0.10603,0.067,2,2,2
2016-07-22 02:37:40,556,cnn_mnist_test_acc_2_2_2,55040,0.089844,0.08984,0.09912,0.10554,0.149,2,2,2
2016-07-22 02:37:40,627,cnn_mnist_test_acc_2_2_2,56320,0.089844,0.08984,0.09912,0.10554,0.0707,2,2,2
2016-07-22 02:37:40,699,cnn_mnist_test_acc_2_2_2,57600,0.089844,0.08984,0.09863,0.10504,0.0717,2,2,2
2016-07-22 02:37:40,773,cnn_mnist_test_acc_2_2_2,58880,0.089844,0.08984,0.09863,0.10479,0.0734,2,2,2
2016-07-22 02:37:40,845,cnn_mnist_test_acc_2_2_2,60160,0.089844,0.08984,0.09766,0.10455,0.0719,2,2,2
2016-07-22 02:37:40,918,cnn_mnist_test_acc_2_2_2,61440,0.089844,0.08984,0.09717,0.10405,0.0726,2,2,2
2016-07-22 02:37:40,987,cnn_mnist_test_acc_2_2_2,62720,0.089844,0.08984,0.09668,0.10356,0.0685,2,2,2
2016-07-22 02:37:41,056,cnn_mnist_test_acc_2_2_2,64000,0.089844,0.08789,0.09619,0.10344,0.0682,2,2,2
2016-07-22 02:37:41,124,cnn_mnist_test_acc_2_2_2,65280,0.089844,0.08789,0.09570,0.10331,0.0683,2,2,2
2016-07-22 02:37:41,189,cnn_mnist_test_acc_2_2_2,66560,0.089844,0.08789,0.09570,0.10294,0.065,2,2,2
2016-07-22 02:37:41,251,cnn_mnist_test_acc_2_2_2,67840,0.089844,0.08789,0.09570,0.10257,0.0614,2,2,2
